serve_type,spin_type,spin_intensity,serve_length,placement_zone,toss_height,contact_point,match_id,game_number,server_score,receiver_score,game_state,opponent_id,opponent_skill_level,opponent_style,side,return_type,return_quality,return_placement,rally_length,point_outcome,point_end_type,intended_setup,rally_type_achieved,chop_rally_outcome
reverse_pendulum,sidespin-top,1,long,wide_FH,medium,hip_level_forehand,1,1,1,9,trailing,1,intermediate,looper,forehand_side,loop,3,wide_FH,7,lost,forced_error,direct_point,attack_rally,not_applicable
reverse_pendulum,sidespin-back,2,half_long,wide_BH,low,body_center,1,1,1,10,game_point,1,intermediate,looper,forehand_side,loop,2,wide_FH,6,won,chop_rally_won,force_pop_up,attack_rally,not_applicable
backhand,backspin,3,short,elbow,low,body_center,1,1,2,10,game_point,1,intermediate,looper,forehand_side,pop_up,1,short_middle,8,won,forced_error,direct_point,attack_rally,not_applicable
backhand,sidespin-back,1,short,wide_BH,low,low_table_level,1,1,3,10,game_point,1,intermediate,looper,forehand_side,pop_up,1,short_FH,5,won,forced_error,force_weak_push,attack_rally,not_applicable
tomahawk,sidespin-back,3,half_long,middle_FH,high,high_forehand,1,1,4,10,game_point,1,intermediate,looper,forehand_side,push,1,short_FH,9,won,chop_rally_won,force_weak_push,chop_rally,won
no_spin_disguised,float/no-spin,1,short,middle_BH,low,low_table_level,1,1,5,10,game_point,1,intermediate,looper,forehand_side,loop,2,short_middle,8,lost,unforced_error,direct_point,attack_rally,not_applicable
backhand,backspin,1,long,elbow,low,hip_level_backhand,1,2,0,0,neutral,1,intermediate,looper,forehand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
backhand,sidespin-back,1,half_long,middle_FH,medium,hip_level_backhand,1,2,1,0,neutral,1,intermediate,looper,forehand_side,pop_up,2,deep_BH,5,lost,chop_rally_lost,start_chop_rally,attack_rally,not_applicable
pendulum,backspin,1,long,elbow,medium,hip_level_forehand,1,2,1,1,neutral,1,intermediate,looper,forehand_side,banana_flip,3,short_middle,4,lost,forced_error,start_chop_rally,attack_rally,not_applicable
backhand,float/no-spin,1,short,wide_FH,medium,body_center,1,2,1,2,neutral,1,intermediate,looper,forehand_side,loop,3,short_middle,7,lost,unforced_error,start_chop_rally,attack_rally,not_applicable
pendulum,backspin,1,short,middle_FH,low,hip_level_forehand,1,2,1,3,neutral,1,intermediate,looper,forehand_side,flip,3,short_middle,8,lost,forced_error,force_weak_push,attack_rally,not_applicable
backhand,backspin,1,short,elbow,low,body_center,1,2,1,4,neutral,1,intermediate,looper,forehand_side,push,2,wide_FH,11,won,chop_rally_won,start_chop_rally,chop_rally,won
backhand,sidespin-back,3,long,middle_BH,medium,body_center,1,2,2,4,neutral,1,intermediate,looper,forehand_side,push,1,deep_FH,18,won,chop_rally_won,force_weak_push,chop_rally,won
pendulum,backspin,1,half_long,elbow,low,hip_level_forehand,1,2,3,4,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,6,won,chop_rally_won,force_weak_push,attack_rally,not_applicable
tomahawk,sidespin-back,2,long,elbow,high,hip_level_forehand,1,2,4,4,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,5,won,chop_rally_won,direct_point,attack_rally,not_applicable
tomahawk,sidespin-back,2,short,wide_BH,high,high_forehand,1,2,5,4,neutral,1,intermediate,looper,forehand_side,miss,0,not_applicable,1,won,forced_error,force_pop_up,direct_point,not_applicable
short_backspin,backspin,3,long,wide_FH,low,hip_level_forehand,1,2,6,4,neutral,1,intermediate,looper,forehand_side,push,2,short_FH,6,lost,forced_error,start_chop_rally,mixed,not_applicable
tomahawk,sidespin-top,3,short,middle_BH,medium,high_forehand,1,2,6,5,neutral,1,intermediate,looper,forehand_side,pop_up,1,wide_FH,7,won,chop_rally_won,direct_point,attack_rally,not_applicable
tomahawk,sidespin-back,2,half_long,wide_BH,medium,high_forehand,1,2,7,5,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,5,lost,chop_rally_lost,direct_point,attack_rally,not_applicable
reverse_pendulum,sidespin-top,3,long,middle_BH,low,body_center,1,2,7,6,neutral,1,intermediate,looper,forehand_side,loop,2,deep_FH,7,won,forced_error,force_pop_up,attack_rally,not_applicable
reverse_pendulum,sidespin-back,2,half_long,middle_BH,medium,body_center,1,2,8,6,neutral,1,intermediate,looper,forehand_side,net,0,not_applicable,1,won,forced_error,force_pop_up,direct_point,not_applicable
reverse_pendulum,sidespin-back,1,long,wide_FH,medium,hip_level_forehand,1,2,9,6,neutral,1,intermediate,looper,forehand_side,push,2,deep_FH,5,won,chop_rally_won,force_weak_push,chop_rally,won
pendulum,sidespin-back,1,short,middle_FH,medium,extended_forehand,1,2,10,6,game_point,1,intermediate,looper,forehand_side,push,2,deep_FH,8,lost,chop_rally_lost,force_pop_up,mixed,not_applicable
pendulum,backspin,1,half_long,wide_BH,medium,low_table_level,1,2,10,7,game_point,1,intermediate,looper,forehand_side,banana_flip,2,short_middle,5,won,chop_rally_won,force_weak_push,attack_rally,not_applicable
pendulum,sidespin-back,2,short,middle_FH,medium,low_table_level,1,3,0,0,neutral,1,intermediate,looper,forehand_side,push,1,wide_FH,12,lost,forced_error,force_weak_push,chop_rally,lost
pendulum,backspin,2,half_long,wide_BH,medium,low_table_level,1,3,0,1,neutral,1,intermediate,looper,forehand_side,flip,2,deep_FH,8,lost,unforced_error,force_weak_push,attack_rally,not_applicable
pendulum,backspin,2,short,elbow,medium,low_table_level,1,3,0,2,neutral,1,intermediate,looper,forehand_side,push,1,wide_FH,10,won,winner,start_chop_rally,chop_rally,won
pendulum,backspin,2,half_long,elbow,medium,low_table_level,1,3,1,2,neutral,1,intermediate,looper,forehand_side,flip,2,wide_FH,8,lost,forced_error,force_pop_up,attack_rally,not_applicable
no_spin_disguised,backspin,2,short,wide_BH,medium,low_table_level,1,3,1,3,neutral,1,intermediate,looper,forehand_side,push,2,wide_FH,14,lost,unforced_error,force_pop_up,chop_rally,lost
no_spin_disguised,float/no-spin,2,short,elbow,medium,body_center,1,3,1,4,neutral,1,intermediate,looper,forehand_side,loop,2,wide_BH,2,won,chop_rally_won,direct_point,attack_rally,not_applicable
reverse_pendulum,sidespin-back,2,long,wide_FH,medium,hip_level_forehand,1,3,2,4,neutral,1,intermediate,looper,forehand_side,loop,3,deep_BH,3,lost,chop_rally_lost,force_pop_up,attack_rally,not_applicable
backhand,sidespin-back,1,half_long,middle_BH,low,hip_level_backhand,1,3,2,5,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,3,lost,unforced_error,start_chop_rally,attack_rally,not_applicable
backhand,backspin,2,half_long,middle_FH,low,hip_level_backhand,1,3,2,6,trailing,1,intermediate,looper,forehand_side,loop,2,wide_BH,6,lost,unforced_error,direct_point,attack_rally,not_applicable
short_backspin,backspin,3,short,elbow,medium,body_center,1,3,2,7,trailing,1,intermediate,looper,forehand_side,flip,1,wide_BH,4,won,forced_error,direct_point,attack_rally,not_applicable
short_backspin,backspin,3,half_long,middle_FH,low,low_table_level,1,3,3,7,trailing,1,intermediate,looper,forehand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
reverse_pendulum,sidespin-back,1,half_long,wide_BH,high,hip_level_forehand,1,3,4,7,neutral,1,intermediate,looper,forehand_side,flip,2,wide_FH,3,lost,chop_rally_lost,direct_point,attack_rally,not_applicable
no_spin_disguised,float/no-spin,2,short,wide_BH,low,hip_level_forehand,1,3,4,8,trailing,1,intermediate,looper,forehand_side,flip,3,deep_FH,2,lost,forced_error,start_chop_rally,attack_rally,not_applicable
no_spin_disguised,float/no-spin,1,long,elbow,low,body_center,1,3,4,9,trailing,1,intermediate,looper,forehand_side,flip,2,short_FH,5,lost,chop_rally_lost,force_pop_up,attack_rally,not_applicable
no_spin_disguised,float/no-spin,1,short,middle_BH,low,hip_level_forehand,1,3,4,10,game_point,1,intermediate,looper,forehand_side,banana_flip,3,deep_BH,2,won,forced_error,force_weak_push,attack_rally,not_applicable
backhand,backspin,2,half_long,wide_BH,low,hip_level_backhand,1,3,5,10,game_point,1,intermediate,looper,forehand_side,push,1,wide_FH,17,won,chop_rally_won,force_weak_push,chop_rally,won
reverse_pendulum,sidespin-top,3,short,middle_BH,low,extended_forehand,1,3,6,10,game_point,1,intermediate,looper,forehand_side,net,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
reverse_pendulum,sidespin-back,1,long,middle_BH,high,hip_level_forehand,1,3,7,10,game_point,1,intermediate,looper,forehand_side,banana_flip,3,wide_BH,2,won,forced_error,direct_point,attack_rally,not_applicable
reverse_pendulum,sidespin-back,1,half_long,elbow,medium,extended_forehand,1,3,8,10,game_point,1,intermediate,looper,forehand_side,banana_flip,2,deep_FH,3,lost,forced_error,start_chop_rally,attack_rally,not_applicable
reverse_pendulum,sidespin-back,2,long,elbow,medium,hip_level_forehand,1,4,0,0,neutral,1,intermediate,looper,forehand_side,loop,3,deep_FH,2,lost,forced_error,force_pop_up,attack_rally,not_applicable
backhand,backspin,2,long,wide_BH,medium,body_center,1,4,0,1,neutral,1,intermediate,looper,forehand_side,push,2,wide_FH,7,won,chop_rally_won,force_weak_push,mixed,not_applicable
pendulum,backspin,3,short,wide_FH,low,hip_level_forehand,1,4,1,1,neutral,1,intermediate,looper,forehand_side,push,2,short_FH,5,won,forced_error,start_chop_rally,chop_rally,won
pendulum,sidespin-back,2,short,wide_BH,low,hip_level_forehand,1,4,2,1,neutral,1,intermediate,looper,forehand_side,flip,2,short_middle,5,won,forced_error,force_weak_push,attack_rally,not_applicable
pendulum,sidespin-back,2,short,middle_FH,low,low_table_level,1,4,3,1,neutral,1,intermediate,looper,forehand_side,pop_up,1,wide_BH,3,won,winner,force_weak_push,attack_rally,not_applicable
pendulum,backspin,3,short,wide_FH,low,hip_level_forehand,1,4,4,1,neutral,1,intermediate,looper,forehand_side,push,2,short_FH,9,lost,chop_rally_lost,start_chop_rally,chop_rally,lost
pendulum,sidespin-back,3,long,elbow,low,extended_forehand,1,4,4,2,neutral,1,intermediate,looper,forehand_side,net,0,not_applicable,1,won,forced_error,start_chop_rally,direct_point,not_applicable
backhand,backspin,3,half_long,elbow,low,hip_level_backhand,1,4,5,2,neutral,1,intermediate,looper,forehand_side,push,1,wide_BH,2,won,forced_error,start_chop_rally,mixed,not_applicable
reverse_pendulum,sidespin-back,2,short,middle_FH,low,hip_level_forehand,1,4,6,2,leading,1,intermediate,looper,forehand_side,miss,0,not_applicable,1,won,forced_error,direct_point,direct_point,not_applicable
reverse_pendulum,sidespin-back,1,long,wide_BH,medium,extended_forehand,1,4,7,2,leading,1,intermediate,looper,forehand_side,loop,2,short_middle,3,won,forced_error,force_weak_push,attack_rally,not_applicable
reverse_pendulum,sidespin-top,3,short,wide_BH,medium,extended_forehand,1,4,8,2,leading,1,intermediate,looper,forehand_side,loop,2,wide_FH,5,won,chop_rally_won,force_pop_up,attack_rally,not_applicable
short_backspin,backspin,3,short,wide_BH,low,low_table_level,1,4,9,2,leading,1,intermediate,looper,forehand_side,push,1,deep_BH,5,lost,forced_error,start_chop_rally,mixed,not_applicable
pendulum,backspin,1,long,elbow,high,hip_level_forehand,1,4,9,3,leading,1,intermediate,looper,forehand_side,banana_flip,2,wide_BH,5,lost,chop_rally_lost,force_pop_up,attack_rally,not_applicable
short_backspin,backspin,3,half_long,middle_FH,medium,low_table_level,1,4,9,4,leading,1,intermediate,looper,forehand_side,push,2,deep_FH,11,lost,chop_rally_lost,start_chop_rally,chop_rally,lost
short_backspin,backspin,3,short,elbow,low,body_center,1,4,9,5,leading,1,intermediate,looper,forehand_side,push,2,deep_BH,7,won,chop_rally_won,force_weak_push,chop_rally,won
pendulum,backspin,3,long,middle_FH,low,hip_level_forehand,1,4,10,5,game_point,1,intermediate,looper,forehand_side,loop,2,short_FH,2,won,forced_error,start_chop_rally,attack_rally,not_applicable
tomahawk,sidespin-back,1,half_long,wide_BH,medium,extended_forehand,1,5,0,0,neutral,1,intermediate,looper,forehand_side,pop_up,1,wide_BH,4,won,winner,start_chop_rally,attack_rally,not_applicable
tomahawk,sidespin-top,1,long,middle_FH,high,extended_forehand,1,5,1,0,neutral,1,intermediate,looper,forehand_side,flip,3,wide_FH,7,lost,chop_rally_lost,force_pop_up,attack_rally,not_applicable
tomahawk,sidespin-top,3,long,middle_FH,medium,hip_level_forehand,1,5,1,1,neutral,1,intermediate,looper,forehand_side,push,2,short_middle,19,won,forced_error,force_weak_push,chop_rally,won
tomahawk,sidespin-back,3,long,middle_FH,medium,extended_forehand,1,5,2,1,neutral,1,intermediate,looper,forehand_side,push,1,deep_BH,9,lost,chop_rally_lost,force_pop_up,chop_rally,lost
short_backspin,backspin,2,short,wide_BH,high,low_table_level,1,5,2,2,neutral,1,intermediate,looper,forehand_side,flip,2,wide_BH,3,won,winner,force_weak_push,attack_rally,not_applicable
reverse_pendulum,sidespin-back,2,half_long,middle_FH,medium,hip_level_forehand,1,5,3,2,neutral,1,intermediate,looper,forehand_side,banana_flip,1,wide_BH,5,won,chop_rally_won,start_chop_rally,attack_rally,not_applicable
reverse_pendulum,sidespin-top,2,long,wide_BH,medium,hip_level_forehand,1,5,4,2,neutral,1,intermediate,looper,forehand_side,banana_flip,2,short_FH,5,lost,unforced_error,force_pop_up,attack_rally,not_applicable
reverse_pendulum,sidespin-back,1,half_long,middle_BH,low,extended_forehand,1,5,4,3,neutral,1,intermediate,looper,forehand_side,banana_flip,2,wide_BH,7,lost,chop_rally_lost,direct_point,attack_rally,not_applicable
short_backspin,backspin,3,short,wide_BH,low,hip_level_forehand,1,5,4,4,neutral,1,intermediate,looper,forehand_side,push,2,deep_BH,7,lost,forced_error,force_weak_push,mixed,not_applicable
short_backspin,float/no-spin,1,half_long,middle_BH,low,hip_level_forehand,1,5,4,5,neutral,1,intermediate,looper,forehand_side,pop_up,1,short_middle,3,won,winner,force_weak_push,attack_rally,not_applicable
pendulum,sidespin-back,2,half_long,elbow,medium,hip_level_forehand,1,5,5,5,neutral,1,intermediate,looper,forehand_side,banana_flip,2,short_FH,3,won,chop_rally_won,force_weak_push,attack_rally,not_applicable
pendulum,backspin,1,short,middle_FH,medium,extended_forehand,1,5,6,5,neutral,1,intermediate,looper,forehand_side,banana_flip,2,wide_FH,6,won,chop_rally_won,start_chop_rally,attack_rally,not_applicable
pendulum,sidespin-back,2,half_long,wide_BH,low,hip_level_forehand,1,5,7,5,neutral,1,intermediate,looper,forehand_side,flip,2,deep_FH,7,lost,forced_error,start_chop_rally,attack_rally,not_applicable
tomahawk,sidespin-top,2,half_long,wide_BH,medium,hip_level_forehand,1,5,7,6,neutral,1,intermediate,looper,forehand_side,pop_up,1,deep_FH,7,won,forced_error,force_weak_push,attack_rally,not_applicable
pendulum,backspin,2,short,middle_FH,medium,hip_level_forehand,1,5,8,6,neutral,1,intermediate,looper,forehand_side,pop_up,1,wide_FH,3,won,winner,force_pop_up,attack_rally,not_applicable
pendulum,sidespin-back,3,short,middle_FH,low,extended_forehand,1,5,9,6,neutral,1,intermediate,looper,forehand_side,push,2,deep_FH,20,lost,unforced_error,force_weak_push,chop_rally,lost
pendulum,backspin,2,short,elbow,medium,hip_level_forehand,1,5,9,7,neutral,1,intermediate,looper,forehand_side,flip,2,deep_FH,2,lost,chop_rally_lost,start_chop_rally,attack_rally,not_applicable
pendulum,sidespin-back,3,long,elbow,low,hip_level_forehand,1,5,9,8,neutral,1,intermediate,looper,forehand_side,loop,2,short_middle,7,lost,chop_rally_lost,force_weak_push,attack_rally,not_applicable
reverse_pendulum,sidespin-back,3,half_long,wide_BH,high,extended_forehand,1,5,9,9,neutral,1,intermediate,looper,forehand_side,push,2,deep_BH,6,won,winner,force_pop_up,chop_rally,won
pendulum,backspin,2,long,wide_BH,low,hip_level_forehand,1,5,10,9,game_point,1,intermediate,looper,forehand_side,loop,2,short_FH,2,won,chop_rally_won,force_pop_up,attack_rally,not_applicable
short_backspin,backspin,3,short,middle_BH,low,low_table_level,2,1,0,0,neutral,5,advanced,defender,backhand_side,push,2,short_FH,3,lost,forced_error,force_weak_push,mixed,not_applicable
short_backspin,backspin,3,short,wide_BH,medium,body_center,2,1,0,1,neutral,5,advanced,defender,backhand_side,push,2,deep_FH,9,lost,forced_error,force_weak_push,chop_rally,lost
short_backspin,backspin,2,short,elbow,low,low_table_level,2,1,0,2,neutral,5,advanced,defender,backhand_side,pop_up,1,short_FH,4,won,forced_error,start_chop_rally,attack_rally,not_applicable
short_backspin,backspin,3,short,wide_BH,low,low_table_level,2,1,1,2,neutral,5,advanced,defender,backhand_side,push,2,short_FH,12,lost,chop_rally_lost,start_chop_rally,chop_rally,lost
short_backspin,backspin,2,half_long,middle_FH,low,low_table_level,2,1,1,3,neutral,5,advanced,defender,backhand_side,push,2,wide_FH,19,won,forced_error,force_weak_push,chop_rally,won
reverse_pendulum,sidespin-top,2,short,wide_FH,high,body_center,2,1,2,3,neutral,5,advanced,defender,backhand_side,push,2,short_middle,2,won,chop_rally_won,force_pop_up,mixed,not_applicable
no_spin_disguised,float/no-spin,1,short,wide_BH,medium,hip_level_forehand,2,1,3,3,neutral,5,advanced,defender,backhand_side,miss,0,not_applicable,1,won,forced_error,direct_point,direct_point,not_applicable
tomahawk,sidespin-back,3,half_long,wide_FH,medium,extended_forehand,2,1,4,3,neutral,5,advanced,defender,backhand_side,push,2,deep_BH,19,lost,forced_error,force_pop_up,chop_rally,lost
short_backspin,float/no-spin,2,short,elbow,low,low_table_level,2,1,4,4,neutral,5,advanced,defender,backhand_side,loop,3,wide_BH,4,lost,forced_error,force_weak_push,attack_rally,not_applicable
short_backspin,backspin,3,short,middle_BH,low,hip_level_forehand,2,1,4,5,neutral,5,advanced,defender,backhand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
short_backspin,backspin,2,long,elbow,low,body_center,2,1,5,5,neutral,5,advanced,defender,backhand_side,push,3,deep_FH,5,won,chop_rally_won,force_weak_push,mixed,not_applicable
tomahawk,sidespin-top,3,half_long,elbow,high,high_forehand,2,1,6,5,neutral,5,advanced,defender,backhand_side,push,2,short_FH,2,lost,forced_error,force_pop_up,mixed,not_applicable
pendulum,sidespin-back,2,long,wide_BH,low,hip_level_forehand,2,1,6,6,neutral,5,advanced,defender,backhand_side,loop,2,deep_BH,6,lost,forced_error,start_chop_rally,attack_rally,not_applicable
pendulum,sidespin-back,3,short,wide_FH,low,extended_forehand,2,1,6,7,neutral,5,advanced,defender,backhand_side,push,2,deep_BH,18,won,chop_rally_won,start_chop_rally,chop_rally,won
pendulum,backspin,2,half_long,wide_FH,low,hip_level_forehand,2,1,7,7,neutral,5,advanced,defender,backhand_side,push,2,short_middle,11,lost,chop_rally_lost,force_weak_push,chop_rally,lost
backhand,float/no-spin,1,half_long,wide_BH,low,hip_level_backhand,2,1,7,8,neutral,5,advanced,defender,backhand_side,push,2,wide_FH,4,lost,unforced_error,force_pop_up,mixed,not_applicable
pendulum,backspin,3,short,elbow,low,extended_forehand,2,1,7,9,neutral,5,advanced,defender,backhand_side,push,2,short_FH,13,lost,forced_error,start_chop_rally,chop_rally,lost
pendulum,backspin,3,half_long,wide_BH,medium,extended_forehand,2,1,7,10,game_point,5,advanced,defender,backhand_side,push,2,short_middle,5,lost,chop_rally_lost,direct_point,mixed,not_applicable
tomahawk,sidespin-top,2,half_long,wide_FH,medium,high_forehand,2,2,0,0,neutral,5,advanced,defender,backhand_side,flip,2,wide_BH,4,lost,unforced_error,force_weak_push,attack_rally,not_applicable
tomahawk,sidespin-top,3,half_long,wide_BH,high,hip_level_forehand,2,2,0,1,neutral,5,advanced,defender,backhand_side,push,2,deep_FH,2,won,forced_error,force_pop_up,mixed,not_applicable
short_backspin,backspin,3,short,middle_FH,medium,body_center,2,2,1,1,neutral,5,advanced,defender,backhand_side,push,2,wide_FH,21,lost,chop_rally_lost,force_weak_push,chop_rally,lost
short_backspin,backspin,3,half_long,middle_BH,low,low_table_level,2,2,1,2,neutral,5,advanced,defender,backhand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
short_backspin,backspin,3,short,wide_BH,low,low_table_level,2,2,2,2,neutral,5,advanced,defender,backhand_side,push,2,deep_FH,6,lost,forced_error,force_weak_push,chop_rally,lost
pendulum,backspin,2,long,wide_BH,low,hip_level_forehand,2,2,2,3,neutral,5,advanced,defender,backhand_side,pop_up,2,deep_FH,7,won,chop_rally_won,start_chop_rally,attack_rally,not_applicable
pendulum,backspin,2,half_long,elbow,high,hip_level_forehand,2,2,3,3,neutral,5,advanced,defender,backhand_side,push,2,wide_BH,12,won,chop_rally_won,force_pop_up,chop_rally,won
pendulum,backspin,3,long,wide_BH,low,hip_level_forehand,2,2,4,3,neutral,5,advanced,defender,backhand_side,push,2,wide_FH,3,lost,chop_rally_lost,force_weak_push,mixed,not_applicable
pendulum,sidespin-back,2,half_long,middle_FH,low,hip_level_forehand,2,2,4,4,neutral,5,advanced,defender,backhand_side,flip,2,short_FH,2,lost,chop_rally_lost,force_weak_push,attack_rally,not_applicable
backhand,backspin,3,short,elbow,low,hip_level_backhand,2,2,4,5,neutral,5,advanced,defender,backhand_side,push,2,short_middle,10,won,winner,start_chop_rally,chop_rally,won
backhand,backspin,1,long,middle_BH,high,hip_level_backhand,2,2,5,5,neutral,5,advanced,defender,backhand_side,net,0,not_applicable,1,won,forced_error,direct_point,direct_point,not_applicable
no_spin_disguised,backspin,3,short,elbow,low,low_table_level,2,2,6,5,neutral,5,advanced,defender,backhand_side,push,2,deep_BH,14,lost,unforced_error,force_pop_up,chop_rally,lost
backhand,sidespin-back,3,long,middle_FH,low,hip_level_backhand,2,2,6,6,neutral,5,advanced,defender,backhand_side,net,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
backhand,float/no-spin,1,short,wide_BH,low,hip_level_backhand,2,2,7,6,neutral,5,advanced,defender,backhand_side,pop_up,1,deep_BH,3,won,chop_rally_won,start_chop_rally,attack_rally,not_applicable
backhand,sidespin-back,1,half_long,middle_FH,medium,hip_level_backhand,2,2,8,6,neutral,5,advanced,defender,backhand_side,push,3,deep_FH,5,lost,chop_rally_lost,force_pop_up,mixed,not_applicable
reverse_pendulum,sidespin-back,1,short,wide_FH,medium,body_center,2,2,8,7,neutral,5,advanced,defender,backhand_side,push,3,deep_FH,3,won,forced_error,force_pop_up,mixed,not_applicable
reverse_pendulum,sidespin-top,1,half_long,middle_BH,medium,body_center,2,2,9,7,neutral,5,advanced,defender,backhand_side,pop_up,2,wide_FH,4,lost,forced_error,direct_point,attack_rally,not_applicable
backhand,backspin,2,short,middle_FH,low,hip_level_backhand,2,2,9,8,neutral,5,advanced,defender,backhand_side,miss,0,not_applicable,1,won,forced_error,force_weak_push,direct_point,not_applicable
reverse_pendulum,sidespin-top,2,short,middle_FH,high,extended_forehand,2,2,10,8,game_point,5,advanced,defender,backhand_side,push,2,short_middle,3,won,chop_rally_won,force_weak_push,mixed,not_applicable
backhand,sidespin-back,1,short,middle_BH,medium,hip_level_backhand,2,3,0,0,neutral,5,advanced,defender,backhand_side,push,3,short_middle,5,lost,chop_rally_lost,force_weak_push,chop_rally,lost
backhand,sidespin-back,3,short,elbow,low,hip_level_backhand,2,3,0,1,neutral,5,advanced,defender,backhand_side,push,2,deep_FH,18,lost,chop_rally_lost,force_weak_push,chop_rally,lost
short_backspin,backspin,3,long,wide_BH,medium,body_center,2,3,0,2,neutral,5,advanced,defender,backhand_side,loop,3,deep_BH,6,lost,unforced_error,force_weak_push,attack_rally,not_applicable
reverse_pendulum,sidespin-top,3,half_long,middle_FH,high,body_center,2,3,0,3,neutral,5,advanced,defender,backhand_side,push,2,short_middle,16,lost,unforced_error,force_weak_push,chop_rally,lost
short_backspin,backspin,2,short,middle_FH,medium,low_table_level,2,3,0,4,trailing,5,advanced,defender,backhand_side,push,2,wide_FH,19,lost,chop_rally_lost,force_pop_up,chop_rally,lost
backhand,backspin,1,short,middle_BH,high,body_center,2,3,0,5,trailing,5,advanced,defender,backhand_side,push,3,short_FH,5,lost,forced_error,force_weak_push,mixed,not_applicable
reverse_pendulum,sidespin-back,1,long,middle_FH,high,body_center,2,3,0,6,trailing,5,advanced,defender,backhand_side,push,3,wide_FH,2,won,winner,force_pop_up,mixed,not_applicable
reverse_pendulum,sidespin-back,3,long,wide_BH,high,hip_level_forehand,2,3,1,6,trailing,5,advanced,defender,backhand_side,loop,2,wide_BH,5,lost,forced_error,direct_point,attack_rally,not_applicable
reverse_pendulum,sidespin-top,2,short,middle_FH,medium,body_center,2,3,1,7,trailing,5,advanced,defender,backhand_side,pop_up,1,deep_BH,4,won,winner,direct_point,attack_rally,not_applicable
backhand,sidespin-back,2,half_long,middle_BH,low,body_center,2,3,2,7,trailing,5,advanced,defender,backhand_side,flip,2,short_middle,5,lost,chop_rally_lost,force_weak_push,attack_rally,not_applicable
backhand,backspin,2,short,middle_BH,low,hip_level_backhand,2,3,2,8,trailing,5,advanced,defender,backhand_side,pop_up,1,deep_BH,5,won,forced_error,start_chop_rally,attack_rally,not_applicable
no_spin_disguised,float/no-spin,1,half_long,elbow,medium,low_table_level,2,3,3,8,trailing,5,advanced,defender,backhand_side,pop_up,2,wide_BH,5,won,chop_rally_won,force_pop_up,attack_rally,not_applicable
no_spin_disguised,float/no-spin,1,short,middle_BH,low,hip_level_forehand,2,3,4,8,trailing,5,advanced,defender,backhand_side,flip,3,wide_BH,4,lost,unforced_error,direct_point,attack_rally,not_applicable
